day, candidate, odd, contract bookmaker
2014-10-25, Dilma 11/13, , 888Sport
2014-10-25, Aecio 19/20, , 888Sport
2014-10-25, Dilma 11/13, , Unibet
2014-10-25, Aecio 19/20, , Unibet
2014-10-25, Dilma 5/6, , 32Red
2014-10-25, Aecio 20/21, , 32Red
2014-10-25, Dilma 4/9, , Betfair
2014-10-25, Aecio 11/10, , Betfair
2014-10-26, Dilma 11/17, , 888Sport
2014-10-26, Aecio 6/5, , 888Sport
2014-10-26, Dilma 11/17, , Unibet
2014-10-26, Aecio 6/5, , Unibet
2014-10-26, Dilma 4/6, , 32Red
2014-10-26, Aecio 10/9, , 32Red
2014-10-26, Dilma 4/9, , Betfair
2014-10-26, Aecio 8/5, , Betfair
