date,mean,hdi_50_lower,hdi_50_upper,hdi_90_lower,hdi_90_upper,label
2019-01-01,0.44509023529044267,0.4135,0.4860869565217391,0.363,0.538,positivo
2019-02-01,0.4024786174895906,0.369,0.44130434782608696,0.313,0.49,positivo
2019-03-01,0.35850676177359914,0.3269537480063796,0.40311004784689,0.2715,0.458,positivo
2019-04-01,0.3502737495823175,0.301,0.375,0.2535,0.433,positivo
2019-05-01,0.333352262257934,0.288,0.36,0.242,0.417,positivo
2019-06-01,0.34722664666272374,0.306,0.379,0.256,0.4354066985645933,positivo
2019-07-01,0.3412845436323887,0.30178571428571427,0.37714285714285717,0.25785714285714284,0.439,positivo
2019-08-01,0.3294609500295796,0.295,0.36706349206349204,0.246,0.422,positivo
2019-09-01,0.3358067458990018,0.31282722513089006,0.38579842931937175,0.262,0.44,positivo
2019-10-01,0.32636404543050634,0.296,0.369,0.24875,0.42614770459081835,positivo
2019-11-01,0.32426826105797524,0.273,0.347,0.22498755599800896,0.405,positivo
2019-12-01,0.32185763848068,0.2845997286295794,0.3610972568578554,0.231,0.41591203104786545,positivo
2020-01-01,0.34983173425056413,0.321,0.393,0.272,0.44805194805194803,positivo
2020-02-01,0.342844481429677,0.31,0.38211879975505203,0.26,0.4355,positivo
2020-03-01,0.33620400671746936,0.2938906752411576,0.3710610932475884,0.241,0.42705882352941177,positivo
2020-04-01,0.29787608207639643,0.266,0.3369890329012961,0.214,0.386,positivo
2020-05-01,0.2765968374692724,0.25,0.318,0.207,0.373015873015873,positivo
2020-06-01,0.2774993655403048,0.239,0.31,0.193,0.366,positivo
2020-07-01,0.2929907144224585,0.273,0.342,0.2248,0.3921182266009852,positivo
2020-08-01,0.33018103601469223,0.3018134715025907,0.3740890688259109,0.2538860103626943,0.43134715025906734,positivo
2020-09-01,0.35732132872590794,0.322,0.3952,0.267,0.4472,positivo
2020-10-01,0.36521439516578336,0.3368,0.41,0.29,0.4675972083748754,positivo
2020-11-01,0.3489721861014914,0.31666666666666665,0.3892,0.26689576174112256,0.44333333333333336,positivo
2020-12-01,0.34727203014080144,0.328,0.4,0.2757936507936508,0.452,positivo
2021-01-01,0.3097294654291215,0.28,0.3516666666666667,0.23299707126586397,0.4076,positivo
2021-02-01,0.304163740175095,0.27,0.3383333333333333,0.22077922077922077,0.3871128871128871,positivo
2021-03-01,0.26800398951542426,0.23824701195219122,0.306,0.191,0.356,positivo
2021-04-01,0.25127145730238226,0.20974889217134415,0.2777142857142857,0.1688823239783358,0.3325714285714286,positivo
2021-05-01,0.26515211920888315,0.22666666666666666,0.29505582137161085,0.18396909705456302,0.3492,positivo
2021-06-01,0.2719028874670616,0.23076923076923078,0.2996666666666667,0.18823529411764706,0.354,positivo
2021-07-01,0.2615496325334501,0.21828171828171827,0.284,0.17647058823529413,0.3360655737704918,positivo
2021-08-01,0.2636155217109612,0.2232,0.29,0.18,0.3424,positivo
2021-09-01,0.2443986680144666,0.20725388601036268,0.272,0.16583416583416583,0.3236,positivo
2021-10-01,0.2455750879273058,0.2138671875,0.2792,0.1696,0.3292,positivo
2021-11-01,0.2424505296560742,0.19498825371965545,0.2624,0.15396039603960396,0.3188,positivo
